2026-05-23 16:12:33,028 | DEBUG    | [PROCESS_BASELINE] msedgewebview2.exe
2026-05-23 16:12:33,029 | DEBUG    | [PROCESS_BASELINE] brave.exe
2026-05-23 16:12:33,029 | DEBUG    | [PROCESS_BASELINE] MemCompression
2026-05-23 16:12:33,033 | DEBUG    | [PROCESS_BASELINE] brave.exe
2026-05-23 16:12:33,033 | DEBUG    | [PROCESS_BASELINE] WUDFHost.exe
2026-05-23 16:12:33,033 | DEBUG    | [PROCESS_BASELINE] svchost.exe
2026-05-23 16:12:33,033 | DEBUG    | [PROCESS_BASELINE] python3.12.exe
2026-05-23 16:12:33,033 | DEBUG    | [PROCESS_BASELINE] WUDFHost.exe
2026-05-23 16:12:33,033 | DEBUG    | [PROCESS_BASELINE] MessagingPlugin.exe
2026-05-23 16:12:33,039 | DEBUG    | [PROCESS_BASELINE] YMC.exe
2026-05-23 16:12:33,039 | DEBUG    | [PROCESS_BASELINE] conhost.exe
2026-05-23 16:12:33,039 | DEBUG    | [PROCESS_BASELINE] svchost.exe
2026-05-23 16:12:33,039 | DEBUG    | [PROCESS_BASELINE] amdfendrsr.exe
2026-05-23 16:12:33,039 | DEBUG    | [PROCESS_BASELINE] atiesrxx.exe
2026-05-23 16:12:33,044 | DEBUG    | [PROCESS_BASELINE] svchost.exe
2026-05-23 16:12:33,044 | DEBUG    | [PROCESS_BASELINE] yasb.exe
2026-05-23 16:12:33,045 | DEBUG    | [PROCESS_BASELINE] brave.exe
2026-05-23 16:12:33,047 | DEBUG    | [PROCESS_BASELINE] atieclxx.exe
2026-05-23 16:12:33,048 | DEBUG    | [PROCESS_BASELINE] svchost.exe
2026-05-23 16:12:33,048 | DEBUG    | [PROCESS_BASELINE] svchost.exe
2026-05-23 16:12:33,050 | DEBUG    | [PROCESS_BASELINE] svchost.exe
2026-05-23 16:12:33,051 | DEBUG    | [PROCESS_BASELINE] svchost.exe
2026-05-23 16:12:33,053 | DEBUG    | [PROCESS_BASELINE] svchost.exe
2026-05-23 16:12:33,053 | DEBUG    | [PROCESS_BASELINE] PowerToys.AlwaysOnTop.exe
2026-05-23 16:12:33,055 | DEBUG    | [PROCESS_BASELINE] svchost.exe
